ComponentCode,ComponentModel,ComponentSpecification,StockCount,ERPComponentName,ComponentType,ComponentLibraryType,SortableValueMagnitude,SortableValueUnit,Datasheet
C25123,0402WGF5100TCE,0402,246699,510Ω ±1% 62.5mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2205311900_UNI-ROYAL-Uniroyal-Elec-0402WGF5100TCE_C25123.pdf
C23206,0603WAF5602T5E,0603,239690,56kΩ ±1% 100mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010116_UNI-ROYAL-Uniroyal-Elec-0603WAF5602T5E_C23206.pdf
C25752,0402WGF1202TCE,0402,230307,12kΩ ±1% 62.5mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010100_UNI-ROYAL-Uniroyal-Elec-0402WGF1202TCE_C25752.pdf
C17621,0805W8F3002T5E,0805,219546,30kΩ ±1% 125mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F3002T5E_C17621.pdf
C25133,0402WGF750JTCE,0402,217748,75Ω ±1% 62.5mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2205311900_UNI-ROYAL-Uniroyal-Elec-0402WGF750JTCE_C25133.pdf
C23253,0603WAF8200T5E,0603,216752,820Ω ±1% 100mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010100_UNI-ROYAL-Uniroyal-Elec-0603WAF8200T5E_C23253.pdf
C107114,CC0805JRNPO9BN300,0805,187850,30pF ±5% 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,base,,,https://datasheet.lcsc.com/lcsc/1810311413_YAGEO-CC0805JRNPO9BN300_C107114.pdf
C29718,4D03WGJ0103T5E,0603x4,185527,10kΩ ±5%,Resistor Networks & Arrays,base,,,https://datasheet.lcsc.com/lcsc/1810191515_UNI-ROYAL-Uniroyal-Elec-4D03WGJ0103T5E_C29718.pdf
C17720,0805W8F499JT5E,0805,180377,49.9Ω ±1% 125mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F499JT5E_C17720.pdf
C27592,0603WAF680JT5E,0603,179494,68Ω ±1% 100mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010030_UNI-ROYAL-Uniroyal-Elec-0603WAF680JT5E_C27592.pdf
C25197,0603WAF510KT5E,0603,171648,5.1Ω ±1% 100mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2205311845_UNI-ROYAL-Uniroyal-Elec-0603WAF510KT5E_C25197.pdf
C17593,0805W8F2702T5E,0805,165755,27kΩ ±1% 125mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F2702T5E_C17593.pdf
C26112,0805W8F2004T5E,0805,161457,2MΩ ±1% 125mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010030_UNI-ROYAL-Uniroyal-Elec-0805W8F2004T5E_C26112.pdf
C23255,0603WAF820JT5E,0603,154469,82Ω ±1% 100mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010100_UNI-ROYAL-Uniroyal-Elec-0603WAF820JT5E_C23255.pdf
C8492,LBSS84LT1G,SOT-23,149466,P沟道 50V 130mA,MOSFETs,base,,,https://datasheet.lcsc.com/lcsc/1811031711_LRC-LBSS84LT1G_C8492.pdf
C25118,0402WGF470JTCE,0402,144569,47Ω ±1% 62.5mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2205311900_UNI-ROYAL-Uniroyal-Elec-0402WGF470JTCE_C25118.pdf
C17436,0805W8F1203T5E,0805,141819,120kΩ ±1% 125mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010216_UNI-ROYAL-Uniroyal-Elec-0805W8F1203T5E_C17436.pdf
C17616,0805W8F3003T5E,0805,141677,300kΩ ±1% 125mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F3003T5E_C17616.pdf
C25334,1206W4F100LT5E,1206,138347,100mΩ ±1% 250mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2205311900_UNI-ROYAL-Uniroyal-Elec-1206W4F100LT5E_C25334.pdf
C1561,0402CG2R7C500NT,0402,129224,2.7pF ±0.25pF 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,base,,,https://datasheet.lcsc.com/lcsc/1811141710_FH--Guangdong-Fenghua-Advanced-Tech-0402CG2R7C500NT_C1561.pdf
C17634,0805W8F330JT5E,0805,127787,33Ω ±1% 125mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F330JT5E_C17634.pdf
C25725,4D02WGJ0103TCE,0402x4,119950,10kΩ ±5%,Resistor Networks & Arrays,base,,,https://datasheet.lcsc.com/lcsc/1810170420_UNI-ROYAL-Uniroyal-Elec-4D02WGJ0103TCE_C25725.pdf
C23260,0603WAF9101T5E,0603,110638,9.1kΩ ±1% 100mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010100_UNI-ROYAL-Uniroyal-Elec-0603WAF9101T5E_C23260.pdf
C5593,"74HC08D,653",SOIC-14,109229,与门,Gates,base,,,https://datasheet.lcsc.com/lcsc/2006241032_Nexperia-74HC08D-653_C5593.pdf
C23146,0603WAF3603T5E,0603,108320,360kΩ ±1% 100mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010116_UNI-ROYAL-Uniroyal-Elec-0603WAF3603T5E_C23146.pdf
C27143,SDCL1005C15NJTDF,0402,100263,15nH ±5% 500mΩ,Inductors (SMD),base,,,https://datasheet.lcsc.com/lcsc/2110081230_Sunlord-SDCL1005C15NJTDF_C27143.pdf
C17837,0805W8F8200T5E,0805,99688,820Ω ±1% 125mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F8200T5E_C17837.pdf
C53134,CL21B473KBCNNNC,0805,95160,47nF ±10% 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,base,,,https://datasheet.lcsc.com/lcsc/1811091614_Samsung-Electro-Mechanics-CL21B473KBCNNNC_C53134.pdf
C22965,0603WAF2703T5E,0603,85351,270kΩ ±1% 100mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010130_UNI-ROYAL-Uniroyal-Elec-0603WAF2703T5E_C22965.pdf
C16772,CL05B224KO5NNNC,0402,83043,220nF ±10% 16V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,base,,,https://datasheet.lcsc.com/lcsc/1810251021_Samsung-Electro-Mechanics-CL05B224KO5NNNC-_C16772.pdf
C22810,0603WAF150JT5E,0603,82411,15Ω ±1% 100mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010130_UNI-ROYAL-Uniroyal-Elec-0603WAF150JT5E_C22810.pdf
C23241,0603WAF7500T5E,0603,77867,750Ω ±1% 100mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010100_UNI-ROYAL-Uniroyal-Elec-0603WAF7500T5E_C23241.pdf
C17756,0805W8F5602T5E,0805,73907,56kΩ ±1% 125mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F5602T5E_C17756.pdf
C22764,0603WAF1101T5E,0603,68276,1.1kΩ ±1% 100mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010130_UNI-ROYAL-Uniroyal-Elec-0603WAF1101T5E_C22764.pdf
C37474,0603CG6R0C500NT,0603,64390,6pF ±0.25pF 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,base,,,https://datasheet.lcsc.com/lcsc/1811061822_FH--Guangdong-Fenghua-Advanced-Tech-0603CG6R0C500NT_C37474.pdf
C5377,DB107S,DBS,64180,1kV 1A,Bridge Rectifiers,base,,,https://datasheet.lcsc.com/lcsc/2105061435_MDD-Microdiode-Electronics--DB107S_C5377.pdf
C25790,0402WGF4703TCE,0402,61448,470kΩ ±1% 62.5mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010100_UNI-ROYAL-Uniroyal-Elec-0402WGF4703TCE_C25790.pdf
C1527,0402B151K500NT,0402,59689,150pF ±10% 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,base,,,https://datasheet.lcsc.com/lcsc/1810302110_FH--Guangdong-Fenghua-Advanced-Tech-0402B151K500NT_C1527.pdf
C25969,0603WAF4303T5E,0603,57779,430kΩ ±1% 100mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010045_UNI-ROYAL-Uniroyal-Elec-0603WAF4303T5E_C25969.pdf
C1685,0603CG8R2C500NT,0603,55118,8.2pF ±0.25pF 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,base,,,https://datasheet.lcsc.com/lcsc/1811061811_FH--Guangdong-Fenghua-Advanced-Tech-0603CG8R2C500NT_C1685.pdf
C31658,CL10B683KB8NNNC,0603,50084,68nF ±10% 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,base,,,https://datasheet.lcsc.com/lcsc/1811072020_Samsung-Electro-Mechanics-CL10B683KB8NNNC_C31658.pdf
C18229,LM2904DR2G,SOIC-8,47549,运算放大器，单电源，双路,Operational Amplifier,base,,,https://datasheet.lcsc.com/lcsc/1811012110_onsemi-LM2904DR2G_C18229.pdf
C1596,0603B153K500NT,0603,43836,15nF ±10% 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,base,,,https://datasheet.lcsc.com/lcsc/1811061810_FH--Guangdong-Fenghua-Advanced-Tech-0603B153K500NT_C1596.pdf
C16581,TP4056-42-ESOP8,ESOP-8,42728,TP4056-42-ESOP8,Battery Management ICs,base,,,https://datasheet.lcsc.com/lcsc/1809261820_TOPPOWER-Nanjing-Extension-Microelectronics-TP4056-42-ESOP8_C16581.pdf
C25270,0805W8F1800T5E,0805,41729,180Ω ±1% 125mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2205311845_UNI-ROYAL-Uniroyal-Elec-0805W8F1800T5E_C25270.pdf
C35216,CL31B102KGFNNNE,1206,38653,1nF ±10% 500V 【停产】,Multilayer Ceramic Capacitors MLCC - SMD/SMT,base,,,https://datasheet.lcsc.com/lcsc/1810221111_Samsung-Electro-Mechanics-CL31B102KGFNNNE_C35216.pdf
C1585,C1585,0402,37575,33nF (333) ±20% 50V Y5V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,base,,,https://datasheet.lcsc.com/lcsc/1811141711_FH--Guangdong-Fenghua-Advanced-Tech-C1585_C1585.pdf
C22813,0603WAF1603T5E,0603,28516,160kΩ ±1% 100mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010130_UNI-ROYAL-Uniroyal-Elec-0603WAF1603T5E_C22813.pdf
C41327,TM1640,SOIC-28-300mil,22242,TM1640,LED Display Drivers,base,,,https://datasheet.lcsc.com/lcsc/2101251932_TM-Shenzhen-Titan-Micro-Elec-TM1640_C41327.pdf
C7532,HT1621B,LQFP-48(7x7),17313,HT1621B,LCD Drivers,base,,,https://datasheet.lcsc.com/lcsc/1809121513_Holtek-Semicon-HT1621B_C7532.pdf
C112574,X5032110592MSB2GI,SMD5032-2P,16673,YSX530GA 11.0592MHz ±10ppm 20pF,Crystals,base,,,https://datasheet.lcsc.com/lcsc/2103291134_Yangxing-Tech-X5032110592MSB2GI_C112574.pdf
C8959,DS1302Z+T&R,SOIC-8,16580,DS1302Z+T&R,Real-time Clocks (RTC),base,,,https://datasheet.lcsc.com/lcsc/1811071513_Maxim-Integrated-DS1302Z-T-R_C8959.pdf
C23922,STM32F030C8T6,LQFP-48(7x7),11906,STM32F030C8T6,ST Microelectronics,base,,,https://datasheet.lcsc.com/lcsc/1811061717_STMicroelectronics-STM32F030C8T6_C23922.pdf
C75510,LM317AG-TN3-R,TO-252-2(DPAK),11357,正 Vin=40V Vout=1.2V~37V 1.5A,Linear Voltage Regulators (LDO),base,,,https://datasheet.lcsc.com/lcsc/1810271112_UTC-Unisonic-Tech-LM317AG-TN3-R_C75510.pdf
C21379,CD4051BM96,SOIC-16-150mil,9457,CD4051BM96,Analog Switches / Multiplexers,base,,,https://www.ti.com/cn/lit/gpn/cd4051b
C68035,MLF2012C101KT000,0805,8301,100uH ±10% 2.5Ω,Inductors (SMD),base,,,https://datasheet.lcsc.com/lcsc/1810162253_TDK-MLF2012C101KT000_C68035.pdf
C10002,LM2596SX-5.0/NOPB,TO-263-5,7811,降压型 Vin=4.5V~40V Vout=5V 3A,DC-DC Converters,base,,,https://www.ti.com/cn/lit/gpn/lm2596
C34465,LM2576SX-5.0/NOPB,TO-263-5,7735,降压型 Vin=4V~40V Vout=5V 3A,DC-DC Converters,base,,,https://www.ti.com/cn/lit/gpn/lm2576
C2990493,SMF30CA,SOD-123FL,1553,双向 Vrwm:30V 200W,TVS,base,,,https://datasheet.lcsc.com/lcsc/2205231816_Liown-SMF30CA_C2990493.pdf
C719499,FEMDRM008G-58A39,FBGA-153,145,8Gbit,eMMC,base,,,https://datasheet.lcsc.com/lcsc/2207261800_FORESEE-FEMDRM008G-58A39_C719499.pdf
C5126825,F35UQA512M-WWT,WSON-8,2,512Mbit 1.8V,NAND FLASH,base,,,https://datasheet.lcsc.com/lcsc/2210121130_FORESEE-F35UQA512M-WWT_C5126825.pdf
